btc_usd;bitcoin;crypto;0x8e94C22142F4A64b99022ccDd994f4e9EC86E4B4
eth_usd;ethereum;crypto;0x11DdD3d147E5b83D01cee7070027092397d63658
bnb_usd;bnb;crypto;0x6dE70f4791C4151E00aD02e969bD900DC961f92a
ftm_usd;fantom;crypto;0xf4766552D15AE4d256Ad41B6cf2933482B0680dc
link_usd;chainlink;crypto;0x221C773d8647BC3034e91a0c47062e26D20d97B4
busd_usd;binance USD;stable USD;0xf8f57321c2e3E202394b0c0401FD6392C3e7f465
dai_usd;dai;stable USD;0x91d5DEFAFfE2854C7D02F50c80FA1fdc8A721e52
usdc_usd;coinbase USD;stable USD;0x2553f4eeb82d5A26427b8d1106C51499CBa5D99c
usdt_usd;tether USD;stable USD;0xF64b636c5dFe1d3555A847341cDC449f612307d0
aave_usd;aave;defi;0xE6ecF7d2361B6459cBb3b4fb065E0eF4B175Fe74
boo_usd;boo;defi;0xc8C80c17f05930876Ba7c1DD50D9186213496376
crv_usd;curve DAO;defi;0xa141D7E3B44594cc65142AE5F2C7844Abea66D2B
